,Player_Name,Country
0,SC Ganguly,India
1,BB McCullum,New Zealand
2,RT Ponting,Australia
3,DJ Hussey,Australia
4,Mohammad Hafeez,Pakistan
5,R Dravid,India
6,W Jaffer,India
7,V Kohli,India
8,JH Kallis,South Africa
9,CL White,Australia
10,MV Boucher,South Africa
11,B Akhil,India
12,AA Noffke,Australia
13,P Kumar,India
14,Z Khan,India
15,SB Joshi,India
16,PA Patel,India
17,ML Hayden,Australia
18,MEK Hussey,Australia
19,MS Dhoni,India
20,SK Raina,India
21,JDP Oram,New Zealand
22,S Badrinath,India
23,K Goel,India
24,JR Hopes,Australia
25,KC Sangakkara,Sri Lanka
26,Yuvraj Singh,India
27,SM Katich,Australia
28,IK Pathan,India
29,T Kohli,India
30,YK Pathan,India
31,SR Watson,Australia
32,M Kaif,India
33,DS Lehmann,Australia
34,RA Jadeja,India
35,M Rawat,India
36,D Salunkhe,India
37,SK Warne,Australia
38,SK Trivedi,India
39,G Gambhir,India
40,V Sehwag,India
41,S Dhawan,India
42,L Ronchi,Australia
43,ST Jayasuriya,Sri Lanka
44,DJ Thornely,Australia
45,RV Uthappa,India
46,PR Shah,India
47,AM Nayar,India
48,SM Pollock,South Africa
49,Harbhajan Singh,India
50,S Chanderpaul,West Indies
51,LRPL Taylor,New Zealand
52,AC Gilchrist,Australia
53,Y Venugopal Rao,India
54,VVS Laxman,India
55,A Symonds,Australia
56,RG Sharma,India
57,SB Styris,New Zealand
58,SB Bangar,India
59,WPUJC Vaas,Sri Lanka
60,RP Singh,India
61,WP Saha,India
62,LR Shukla,India
63,DPMD Jayawardene,Sri Lanka
64,S Sohal,India
65,B Lee,Australia
66,PP Chawla,India
67,WA Mota,India
68,Kamran Akmal,Pakistan
69,Shahid Afridi,Pakistan
70,DJ Bravo,West Indies
71,MA Khote,India
72,A Nehra,India
73,GC Smith,South Africa
74,Pankaj Singh,India
75,RR Sarwan,West Indies
76,S Sreesanth,India
77,VRV Singh,India
78,SS Tiwary,India
79,DS Kulkarni,India
